SKU,TITOLO_ATTUALE,MOTIVO
SM0217/11,"Generico COLTELLI SIAM QUALITY BIODEGRADABILE E COMPOSTABILE LUNGHEZZA 16,5 CM – CONFEZIONE DA 50 PEZZI",TINT 16.5: nome colore da definire
SM0217/10,"FORCHETTA SIAM QUALITY BIODEGRADABILE E COMPOSTABILE LUNGHEZZA 16,5 CM – CONFEZIONE DA 50 PEZZI",TINT 16.5: nome colore da definire
FAN86164,"Fanola Acqua ossigenata profumata, 1000 ml",ossigeno: volume non chiaro
FAN96629,CREMA COLORE PER CAPELLI AZIONE ANTIGIALLO 100ML-NO YELLOW COLOR TONER FANOLA (- S.1322 SUPERSC.ANTIGIALLO INT),TINT: numero colore non rilevato
CR84570,Asciugamani Piegati V EXTRA 2.0 Centralcarta FP0110 – Confezione da 3.000 pezzi,TINT 2.0: nome colore da definire
FAN1076083,FANOLA Crema Ossidante Viola Antigiallo 25 Vol 1000ml,ossidante viola antigiallo: fuori schema
FAN1076082,FANOLA Crema Ossidante Viola Antigiallo 5 Vol 1000ml,ossidante viola antigiallo: fuori schema
