SKU,Short description,Description
FAN86642,"Shampoo ricostruttore per capelli sfibrati e danneggiati. La sua speciale formulazione a pH 6,5 priva di Solfati e Sale aggiunto deterge delicatamente rimuovendo residui e impurita minerali.","Rigenera forza e bellezza nei capelli danneggiati, favorendo il processo di ricostruzione interna e ripristinando il corretto equilibrio proteico della fibra capillare. Modo d uso: distribuire su capelli umidi, emulsionare e risciacquare. Ripetere se necessario."
FAN86643,"Shampoo ricostruttore per capelli sfibrati e danneggiati. La sua speciale formulazione a pH 6,5 priva di Solfati e Sale aggiunto deterge delicatamente rimuovendo residui e impurita minerali.","Rigenera forza e bellezza nei capelli danneggiati, favorendo il processo di ricostruzione interna e ripristinando il corretto equilibrio proteico della fibra capillare. Modo d uso: distribuire su capelli umidi, emulsionare e risciacquare. Ripetere se necessario."
FAN86644,"Maschera ricostruttrice per capelli sfibrati e danneggiati. La sua formulazione ricca, densa e cremosa sigilla le squame del capello, facilitando il processo di ricostruzione interna.","Aiuta a sigillare le cuticole e supporta la ricostruzione interna, restituendo forza e vitalita alla fibra. Modo d uso: applicare su capelli tamponati su lunghezze e punte massaggiando 5 minuti; lasciare in posa 5 minuti e risciacquare."
FAN86645,"Maschera ricostruttrice per capelli sfibrati e danneggiati. La sua formulazione ricca, densa e cremosa sigilla le squame del capello, facilitando il processo di ricostruzione interna.","Aiuta a sigillare le cuticole e supporta la ricostruzione interna, restituendo forza e vitalita alla fibra. Modo d uso: applicare su capelli tamponati su lunghezze e punte massaggiando 5 minuti; lasciare in posa 5 minuti e risciacquare."
FAN86646,"Filler ricostruttore intensivo per capelli sfibrati e danneggiati. Penetra a fondo nella struttura del capello, rinforzandolo e rimpolpando istantaneamente le zone lacerate con un intensa azione ristrutturante interna.","Applicato ciocca per ciocca dopo lo shampoo dona forza, corposita e morbidezza. Modo d uso: su capelli tamponati applicare con la siringa (20 ml corti, 30 ml medi, 35/40 ml lunghi), massaggiare controsquama dalle punte alla base, posa 5-10 minuti sotto calore. Non risciacquare."
FAN86647,"Filler ricostruttore spray per capelli sfibrati e danneggiati. Dona tono, corpo e volume rendendo il capello straordinariamente setoso senza appesantire ne appiccicare, aumentando la durata della piega.","Restituisce tono e struttura lasciando i capelli morbidi e leggeri senza residui. Modo d uso: su capelli tamponati e preasciugati vaporizzare uniformemente, massaggiare e procedere allo styling."
