SKU,Meta: _amazon_url,Meta: _asin
FAN86307,https://www.amazon.it/dp/B00PZ0PMV2,B00PZ0PMV2
ID120017,https://www.amazon.it/dp/B0DY1SVG7M,B0DY1SVG7M
ITM1821-S,https://www.amazon.it/dp/B00YHIN77E,B00YHIN77E
