ID,Tipo,SKU,"GTIN, UPC, EAN, o ISBN",Nome,Pubblicato,"In primo piano?","Visibilità nel catalogo","Breve descrizione",Descrizione,"Data di partenza del prezzo in saldo","Data in cui termina l'offerta","Stato delle imposte","Aliquota di imposta","In stock?",Magazzino,"Quantità in magazzino bassa","Abilita gli ordini arretrati?","Venduto singolarmente?","Peso (kg)","Lunghezza (cm)","Larghezza (cm)","Altezza (cm)","Permetti le recensioni clienti?","Nota di acquisto","Prezzo in offerta","Prezzo di listino",Categorie,Tag,"Classe di spedizione",Immagine,"Limite di download","Scarica i giorni di scadenza",Genitore,"Prodotti raggruppati",Up-sell,Cross-sell,"URL esterno","Testo del pulsante",Posizione,Marchi,"Meta: _asin","Meta: _amazon_url","Meta: _et_builder_dynamic_assets_loading_attr_threshold","Meta: _last_change_time","Meta: _et_pb_post_hide_nav","Meta: _et_pb_page_layout","Meta: _et_pb_side_nav","Meta: _et_pb_use_builder","Meta: _et_pb_first_image","Meta: _et_pb_truncate_post","Meta: _et_pb_truncate_post_date","Meta: _et_pb_old_content"
1682,simple,FAN86051,,"Fanola Crema colore Colouring Cream 7.44 Biondo vivace Rame, 100 ml",1,0,visible,"CREMA COLORE FANOLA 8.44 BIONDO CHIARO RAME INTENSO FANOLA",,,,taxable,,1,,,0,0,,,,,0,,,"9,99","Linea Beauty",Capelli,,https://overcomsrl.com/wp-content/uploads/2026/06/FAN86052.webp,,,,,,,,,0,,0424HAFD6IO,https://www.amazon.it/dp/B00CGPN5ZO,2,,,,,,,,,
1683,simple,FAN86068,,"FANOLA - Crema per capelli Fanola 100 ml",1,0,visible,"CREMA COLORE FANOLA BLU 100ML",,,,taxable,,1,,,0,0,,,,,0,,,"9,99","Linea Beauty",Capelli,,https://overcomsrl.com/wp-content/uploads/2026/06/FAN86068.webp,,,,,,,,,0,,0424HACABOE,https://www.amazon.it/dp/B00PZ0RQMU,2,,,,,,,,,
1684,simple,FAN86687,,"Fanola Nutri Care Lozione Ristrutturante Senza Risciacquo Capelli - 144 Ml",1,0,visible,"CONDIZIONAT. RISTRUTTURANTE s/risciacquo TUBO 300 ML (1076057)",,,,taxable,,1,,,0,0,,,,,0,,,"18,6","Linea Beauty",Capelli,,https://overcomsrl.com/wp-content/uploads/2026/06/FAN86879.webp,,,,,,,,,0,,0326FOX4R3X,https://www.amazon.it/dp/B07XLBBZFN,2,,,,,,,,,
1685,simple,ID950.349,,"REGEA Siero Idratazione Profonda 100ml",1,0,visible,"REGEA CRIO LOZIONE BENDAGGIO FREDDO 1000 ML",,,,taxable,,1,,,0,0,,,,,0,,,"15,7","Linea Beauty",,,https://overcomsrl.com/wp-content/uploads/2026/06/ID950.349.webp,,,,,,,,,0,,0521HCSUNVX,https://www.amazon.it/dp/B07DY9BY2W,2,,,,,,,,,
1686,simple,FAN86035,,"FANOLA - Crema colorante per capelli, 100 ml, oro biondo scuro 6.3",1,0,visible,"CREMA COLORE 6.0 BIONDO SCURO FANOLA",,,,taxable,,1,,,0,0,,,,,0,,,"9,99","Linea Beauty",Capelli,,https://overcomsrl.com/wp-content/uploads/2026/06/FAN86005.webp,,,,,,,,,0,,0424HAFQB78,https://www.amazon.it/dp/B015RYGCU0,2,,,,,,,,,
1687,simple,FAN86645,,"Fanola, Botugen Mask, Maschera Ricostruttrice, Con Acido Ialuronico e Cheratina, 1000 ML",1,0,visible,"BOTOLIFE MASK MASCHERA RICOSTRUTTRICE 1000 ML",,,,taxable,,1,,,0,0,,,,,0,,,"16,7","Linea Beauty",Capelli,,https://overcomsrl.com/wp-content/uploads/2026/06/FAN86645.webp,,,,,,,,,0,,0327FSLFHIW,https://www.amazon.it/dp/B00O3V09WG,2,,,,,,,,,
1688,simple,FAN86311,,"Fanola Crema Colore Colouring Cream 5.29 Extra Cioccolato, 100 ml",1,0,visible,"CREMA COLORE 5.29 CIOCCOLATO EXTRA",,,,taxable,,1,,,0,0,,,,,0,,,"9,99","Linea Beauty",Capelli,,https://overcomsrl.com/wp-content/uploads/2026/06/FAN86311.webp,,,,,,,,,0,,0424HAFMYVM,https://www.amazon.it/dp/B00L5D79DW,2,,,,,,,,,
1689,simple,FAN86024,,"FANOLA - Crema colorante per capelli Fanola, 100 ml, 7.13, biondo beige",1,0,visible,"CREMA COLORE 10.13 BIONDO PLATINO BEIGE",,,,taxable,,1,,,0,0,,,,,0,,,"9,99","Linea Beauty",Capelli,,https://overcomsrl.com/wp-content/uploads/2026/06/FAN86086.webp,,,,,,,,,0,,0430H27B44A,https://www.amazon.it/dp/B00CGPJJ18,2,,,,,,,,,
1690,simple,MD0002,,"Sterilizzante Disinfettante in polvere Peroxill 2KG",1,0,visible,"SELEKO DISINFETTANTE SPRAY POLIV. ML.500 T/12","Sterilizzante Disinfettante in polvere Peroxill 2KG",,,taxable,,1,,,0,0,,,,,0,,,"45,3","Linea Beauty",,,https://overcomsrl.com/wp-content/uploads/2026/06/MD05GA0350.webp,,,,,,,,,0,,0303FR0KKM0,https://www.amazon.it/dp/B01G7ESHRK,2,,,,,,,,,
1691,simple,FAN86012,,"FANOLA 9.03 - Crema colorante per capelli, 100 ml, biondo caldo molto chiaro",1,0,visible,"CREMA COLORE 7.03 BIONDO CALDO FANOLA",,,,taxable,,1,,,0,0,,,,,0,,,"9,99","Linea Beauty",Capelli,,https://overcomsrl.com/wp-content/uploads/2026/06/FAN86012.webp,,,,,,,,,0,,0424HAEZNZJ,https://www.amazon.it/dp/B00CGPKLUQ,2,,,,,,,,,
1692,simple,MD04LH0010,,"BACTISN WIPE 2000 - Salviette disinfettanti - Confezione 72 salviette",1,0,visible,"SALVIETTE BACTISAN WIPE 2000 disinfett disp medici CONF. 72 PZ","BACTISN WIPE 2000 - Salviette disinfettanti - Confezione 72 salviette",,,taxable,,1,,,0,0,,,,,0,,,"14,5","Linea Beauty",,,https://overcomsrl.com/wp-content/uploads/2026/06/MD04LH0010.webp,,,,,,,,,0,,0203H4FQLOU,https://www.amazon.it/dp/B0GL8T26FL,2,,,,,,,,,
1693,simple,ID950.355,,"Crema defaticante per i piedi",1,0,visible,"REGEA CREMA PIEDI DEFATICANTE 500 ML",,,,taxable,,1,,,0,0,,,,,0,,,"19,8","Linea Beauty",,,https://overcomsrl.com/wp-content/uploads/2026/06/ID950.355.webp,,,,,,,,,0,,0521HCWVFVN,https://www.amazon.it/dp/B093BW3553,2,,,,,,,,,
1694,simple,FAN86231,,"FANOLA Nourishing Shampoo Ristrutturante Capelli Danneggiati 350ml",1,0,visible,"SHAMPOO RISTRUTTURANTE FANOLA 350 ML (1076051)",,,,taxable,,1,,,0,0,,,,,0,,,"11,4","Linea Beauty",Capelli,,https://overcomsrl.com/wp-content/uploads/2026/06/FAN86231.webp,,,,,,,,,0,,0327FS6D5YC,https://www.amazon.it/dp/B08L4GFMTJ,2,,,,,,,,,
1695,simple,FAN86313,,"FANOLA - Crema colorante per capelli Fanola, 100 ml, 7.29, cioccolato nocciola",1,0,visible,"CREMA COLORE 7.29 CIOCCOLATO GIANDUIA",,,,taxable,,1,,,0,0,,,,,0,,,"9,99","Linea Beauty",Capelli,,https://overcomsrl.com/wp-content/uploads/2026/06/FAN86313.webp,,,,,,,,,0,,0424HAAHBL5,https://www.amazon.it/dp/B00PZ0RZ4O,2,,,,,,,,,
1696,simple,FAN86879,,"Fanola Nutri Care Leave-in Balsamo da 300 ml",1,0,visible,"SHAMPOO NUTRI CARE 300 ML",,,,taxable,,1,,,0,0,,,,,0,,,"11,4","Linea Beauty",,,https://overcomsrl.com/wp-content/uploads/2026/06/AH1417.webp,,,,,,,,,0,,0326FP6DWTA,https://www.amazon.it/dp/B01CCSPXFO,2,,,,,,,,,
1697,simple,ROK462,,"Generico KIMONO MONOUSO NERO UNISEX - CONF. 10 PZ.",1,0,visible,"SGORBIA MONOUSO 1mm CONF. 20 PZ",,,,taxable,,1,,,0,0,,,,,0,,,"14,6","Linea Beauty",,,https://overcomsrl.com/wp-content/uploads/2026/06/KP4441.1.webp,,,,,,,,,0,,0220FUHAXU5,https://www.amazon.it/dp/B0DXVHP17B,2,,,,,,,,,
1698,simple,FAN86081,,"FANOLA - Crema tintura per capelli Fanola 100 ml 11.2 Super Blond Platin Perl",1,0,visible,"CREMA COLORE 12.2 SUPER BIONDO PLATINO PERLA EXTRA",,,,taxable,,1,,,0,0,,,,,0,,,"9,99","Linea Beauty",Capelli,,https://overcomsrl.com/wp-content/uploads/2026/06/FAN86324.webp,,,,,,,,,0,,0424HAAQXUF,https://www.amazon.it/dp/B00CGPM24E,2,,,,,,,,,
1699,simple,ID373.615,,"Xanitalia Pro Lima Due Facce Lavabile Zebra Dura 100/180 Pack 10 Pcs - 110 g",1,0,visible,"LIMA 2 FACCE MOON ZEBRA 100/180 CNF 10 PZ",,,,taxable,,1,,,0,0,,,,,0,,,"15,8","Linea Beauty",,,https://overcomsrl.com/wp-content/uploads/2026/06/ID373.615.webp,,,,,,,,,0,,0221FXX7SSG,https://www.amazon.it/dp/B07YHT8D28,2,,,,,,,,,
1700,simple,"ID180,025",,"CERA DEPILATORIA LIPOSOLUBILE TITANIUM - BARATTOLO DA 400 ML - CONFEZIONE DA 3 BARATTOLI",-1,0,visible,"CERA LIPOSOLUBILE ROSA AL TITANIO 400 ML BASIC LINE T/24","CERA DEPILATORIA LIPOSOLUBILE TITANIUM - BARATTOLO DA 400 ML - CONFEZIONE DA 3 BARATTOLI",,,taxable,,1,,,0,0,,,,,0,,,"19,9","Linea Beauty",,,https://overcomsrl.com/wp-content/uploads/2026/06/ID180.025.webp,,,,,,,,,0,,0515FRXJUSG,https://www.amazon.it/dp/B0F8R6M9CD,2,,,,,,,,,
1701,simple,CR84570,,"Asciugamani Piegati V EXTRA 2.0 Centralcarta FP0110 - Confezione da 3.000 pezzi",1,0,visible,"ASCIUGAMANI PIEGATI A V 2 VELI CRT.3000 PZ (12x250)","Asciugamani Piegati V EXTRA 2.0 Centralcarta FP0110 - Confezione da 3.000 pezzi",,,taxable,,1,,,0,0,,,,,0,,,"25,5","Linea Beauty",,,https://overcomsrl.com/wp-content/uploads/2026/06/CR84570.webp,,,,,,,,,0,,0408HBNC9YD,https://www.amazon.it/dp/B0GWHYP3P1,2,,,,,,,,,
1702,simple,ID930.653,,"Xanitalia Pro Il Multidirezionale Cocco Perfect Touch Film Cera - 1000 Gr - CF 6 PZ",-1,0,visible,"CERA MULTIDIREZIONALE COCCO BUSTA 1000GR","Xanitalia Pro Il Multidirezionale Cocco Perfect Touch Film Cera - 1000 Gr - CF 6 PZ",,,taxable,,1,,,0,0,,,,,0,,,"90,0","Linea Beauty",,,https://overcomsrl.com/wp-content/uploads/2026/06/ID930.653.webp,,,,,,,,,0,,0410FWE70UC,https://www.amazon.it/dp/B0F4D4HPJL,2,,,,,,,,,
1703,simple,FAN86160,,"FANOLA ATTIVATORE 3,5 VOL 1 LT",1,0,visible,"ATTIVATORE 3",,,,taxable,,1,,,0,0,,,,,0,,,"9,5","Linea Beauty",Capelli,,https://overcomsrl.com/wp-content/uploads/2026/06/FAN86160.webp,,,,,,,,,0,,0205HCP3XV3,https://www.amazon.it/dp/B011PVB1KK,2,,,,,,,,,
1704,simple,FAN96629,,"CREMA COLORE PER CAPELLI AZIONE ANTIGIALLO 100ML-NO YELLOW COLOR TONER FANOLA (- S.1322 SUPERSC.ANTIGIALLO INT)",1,0,visible,"CREMA COLORE 11.1 BIONDO PLATINO CENERE FANOLA",,,,taxable,,1,,,0,0,,,,,0,,,"12,6","Linea Beauty",Capelli,,https://overcomsrl.com/wp-content/uploads/2026/06/FAN86063.webp,,,,,,,,,0,,0514HJLQQLZ,https://www.amazon.it/dp/B07BT8X4NV,2,,,,,,,,,
1705,simple,FAN1096802,,"Fanola Oro Therapy Color Keratin 9.21, 100 ml",1,0,visible,"COLOR KERATIN ORO PURO BLU 100 ML",,,,taxable,,1,,,0,0,,,,,0,,,"11,8","Linea Beauty",Capelli,,https://overcomsrl.com/wp-content/uploads/2026/06/FAN86607.webp,,,,,,,,,0,,0423H6EN3YI,https://www.amazon.it/dp/B07GFP77VF,2,,,,,,,,,
1706,simple,FAN86670,,"FANOLA STIRATURA KIT MONODOSE 100+120 ml",1,0,visible,"CREMA STIRANTE MONODOSE 100 ML + NEUTRALIZZANTE",,,,taxable,,1,,,0,0,,,,,0,,,"12,4","Linea Beauty",Capelli,,https://overcomsrl.com/wp-content/uploads/2026/06/FAN86670.webp,,,,,,,,,0,,0514HJLTZS2,https://www.amazon.it/dp/B01E5D0L9W,2,,,,,,,,,
1707,simple,FAN86234,,"FANOLA Maschera Spray Ristrutturante Nutri One 10 Azioni 200ml",1,0,visible,"MASCHERA RISTRUTTURANTE FANOLA 500 ML (1076055)",,,,taxable,,1,,,0,0,,,,,0,,,"14,0","Linea Beauty",Capelli,,https://overcomsrl.com/wp-content/uploads/2026/06/FAN86234.webp,,,,,,,,,0,,0327FSO0WRK,https://www.amazon.it/dp/B08L4GTGND,2,,,,,,,,,
1708,simple,FAN86810,,"FANOLA Hair Color - Crema tintura 8.14, cacao, 100 ml",1,0,visible,"COLOR KERATIN ORO PURO 4.14 CACAO",,,,taxable,,1,,,0,0,,,,,0,,,"9,99","Linea Beauty",Capelli,,https://overcomsrl.com/wp-content/uploads/2026/06/FAN86442.webp,,,,,,,,,0,,0424HADJ7UP,https://www.amazon.it/dp/B00CGPKE80,2,,,,,,,,,
1709,simple,MD0210,,"BACTISINE ALCOLICO - DISINFETTANTE STRUMENTI CHIRURGICI - FLACONE DA 1.000 ML",1,0,visible,"BAKTERIO DISINFETTANTE PMC FLAC. LT 1 CRT/6","BACTISINE ALCOLICO - DISINFETTANTE STRUMENTI CHIRURGICI - FLACONE DA 1.000 ML",,,taxable,,1,,,0,0,,,,,0,,,"13,3","Linea Beauty",,,https://overcomsrl.com/wp-content/uploads/2026/06/ITM1540N-S.webp,,,,,,,,,0,,0715F4AH3OG,https://www.amazon.it/dp/B0FHKTF9WH,2,,,,,,,,,
1710,simple,ID930.654,,"Xanitalia Pro Il Multidirezionale Mango Perfect Touch Film Cera - Sacchetto 1000 Gr - Confezione da 6 sacchetti",-1,0,visible,"CERA MULTIDIREZIONALE MANGO BUSTA 1000GR","Xanitalia Pro Il Multidirezionale Mango Perfect Touch Film Cera - Sacchetto 1000 Gr - Confezione da 6 sacchetti",,,taxable,,1,,,0,0,,,,,0,,,"90,0","Linea Beauty",,,https://overcomsrl.com/wp-content/uploads/2026/06/ID930.654.webp,,,,,,,,,0,,0704F5FCN0L,https://www.amazon.it/dp/B0FGPSXS1J,2,,,,,,,,,
1711,simple,FAN86317,,"Fanola Crema colorante Colouring Cream 7.66 Blond Intensiv Rosso, 100 ml",1,0,visible,"CREMA COLORE 7.66 BIONDO ROSSO INTENSO",,,,taxable,,1,,,0,0,,,,,0,,,"9,99","Linea Beauty",Capelli,,https://overcomsrl.com/wp-content/uploads/2026/06/FAN86317.webp,,,,,,,,,0,,0424HAB7OB5,https://www.amazon.it/dp/B00PZ0XRWS,2,,,,,,,,,
1712,simple,ITM1541,,"SANITEC igiene sicura Bakterio - Disinfettante per Ambienti, 5 kg - Pino Balsamico",1,0,visible,"BAKTERIO DISINFETTANTE PMC TANICA KG 5 CRT/2",,,,taxable,,1,,,0,0,,,,,0,,,"18,9","Linea Beauty",,,https://overcomsrl.com/wp-content/uploads/2026/06/ITM1541.webp,,,,,,,,,0,,0401F763C5M,https://www.amazon.it/dp/B01E7G0I04,2,,,,,,,,,
1713,simple,FAN86232,,"Fanola Nourishing - Shampoo ristrutturante per capelli secchi e crespi - 1000 Ml",1,0,visible,"SHAMPOO RISTRUTTURANTE FANOLA 1000 ML (1076053)",,,,taxable,,1,,,0,0,,,,,0,,,"14,3","Linea Beauty",Capelli,,https://overcomsrl.com/wp-content/uploads/2026/06/FAN86232.webp,,,,,,,,,0,,0327FRVOYB5,https://www.amazon.it/dp/B08HM4LQJD,2,,,,,,,,,
1835,simple,AMU419628,,"DISINFETTANTE SGRASSATORE USO PROFESSIONALE ATTIVO SUPERFICI SPRAY - FLACONE 750 ML CON SPRUZZINO - REG. 19194 MINSAN",1,0,visible,,"DISINFETTANTE SGRASSATORE ATTIVO SUPERFICI SPRAY - FLACONE 750 ML CON SPRUZZINO - REG. 19194 MINSAN",,,taxable,,1,144,,0,0,,,,,0,,,,Amuchina,,,,,,,,,,,,0,,0617FK2BOPF,https://www.amazon.it/dp/B0FDGNQWQF,2,,,,,,,,,
1836,simple,CC11013602,,"CARTA FORNO PROFESSIONAL - ROTOLO DA 50 METRI - ALTEZZA 36 CM",1,0,visible,,"CARTA FORNO PROFESSIONAL - ROTOLO DA 50 METRI - ALTEZZA 36 CM",,,taxable,,1,27,,0,0,,,,,0,,,"15,10","Accessori e Strumenti",,,,,,,,,,,,0,,0512FGU4CWC,https://www.amazon.it/dp/B0F8BM9WNX,,,,,,,,,,
1837,simple,CC17030112,,"Film rotolo alluminio larghezza cm 30 lunghezza mt 100 con astuccio",1,0,visible,,,,,taxable,,0,0,,0,0,,,,,0,,,"16,20","Accessori e Strumenti",,,,,,,,,,,,0,,0418FM9GWHM,https://www.amazon.it/dp/B01MT6RO9W,,,,,,,,,,
1838,simple,CC3530130,,"PELLICOLA TRASPARENTE - CUKI",1,0,visible,,,,,taxable,,0,0,,0,0,,,,,0,,,"16,80","Accessori e Strumenti",,,,,,,,,,,,0,,0422FW6X4I9,https://www.amazon.it/dp/B086ZNH9ZN,,,,,,,,,,
1839,simple,CXC59615,,"ROTOLONE DI CARTA BLU FOOD 3 VELI 500 STRAPPI CELTEX 59615 - CONFEZIONE 2 ROTOLONI",1,0,visible,,"ROTOLONE DI CARTA SUPERBLUE FOOD 3 VELI 500 STRAPPI CELTEX 59615 - CONFEZIONE 2 ROTOLONI",,,taxable,,1,50,,0,0,,,,,0,,,"23,70","Accessori e Strumenti",,,,,,,,,,,,0,,0508F5E6FHX,https://www.amazon.it/dp/B0F7XV4WXG,,,,,,,,,,
1840,simple,FAN1076459,,"Fanola FanTouch Curl Passion, Mousse Disciplinante per Capelli Ricci Naturali o Trattati, Azione Fissante per Ricci Morbidi ed Elastici, 300 ml",1,0,visible,,,,,taxable,,0,0,,0,0,,,,,0,,,"14,50",Fanola,,,,,,,,,,,,0,,0109HU0WKYV,https://www.amazon.it/dp/B0CLVMRYVN,2,,,,,,,,,
1841,simple,FAN1096813,,"Crema colore permanente per capelli senza ammoniaca 100ml-ORO Therapy (- 10.21 BIONDO PLATINO VIOLA CENERE)",1,0,visible,,,,,taxable,,1,6,,0,0,,,,,0,,,"11,80",Fanola,,,,,,,,,,,,0,,0423H6LXE30,https://www.amazon.it/dp/B07GFQ61XJ,2,,,,,,,,,
