SKU SITO,NOTE,STATO,SKU AMAZON,COD ARTICOLO,NOME GESTIONALE,QTY GIACENZA,QTY VENDUTA,TIPO MATCH,SCORE,TITOLO AMAZON,PREZZO AMAZON,ASIN,URL AMAZON,DESCR. AMAZON
CC17030112,,✅ SU WOOCOMMERCE,TV-8879-16KJ,,,,,🟠 DEBOLE (41.1%),411,Film rotolo alluminio larghezza cm 30 lunghezza mt 100 con astuccio,162,0418FM9GWHM,https://www.amazon.it/dp/B01MT6RO9W,
CC3530130,,✅ SU WOOCOMMERCE,84-WD5C-LI48,,,,,🟠 DEBOLE (36.4%),364,PELLICOLA TRASPARENTE - CUKI,168,0422FW6X4I9,https://www.amazon.it/dp/B086ZNH9ZN,
CR84570,,✅ SU WOOCOMMERCE,X5-8U0J-A1Q7,CX7272S,ASCIUGAMANI PIEGATI A V SAVE CRT.3000 PZ (15x200),365,2,🟠 DEBOLE (47.2%),472,BULKY SOFT ASCIUGAMANI MONOUSO CARTA DISPENSER PIEGATI A V COMPATIBILE A C E A Z - CONFEZIONE DA 3.000 PEZZI,245,0415FB7C2IY,https://www.amazon.it/dp/B097XYSXMV,"BULKY SOFT - ASCIUGAMANI MONOUSO CARTA DISPENSER PIEGATI A V COMPATIBILE PIEGATURA ""C"" E ""Z"" - CONFEZIONE 3.000 ASCIUGAMANI"
CX7272S,,Verificato - Non caricato (codice NON unico),S4-CFX1-Y9CD,CR84570,ASCIUGAMANI PIEGATI A V 2 VELI CRT.3000 PZ (12x250),0,45,🟠 DEBOLE (45.0%),45,"ASCIUGAMANI IN CARTA DOPPIO VELO RICICLATA PIEGATA A V CON GRADO DI BIANCO 75%, CONFEZIONE 3000 FOGLIETTI",244,0129HOBW0KM,https://www.amazon.it/dp/B015MUWM58,
CXC59615,,✅ SU WOOCOMMERCE,6C-17D8-VTBU,CXC59615,BOBINA CARTA BLU 3V 500 STR. H.26,50,50,🟠 DEBOLE (46.4%),464,ROTOLONE DI CARTA BLU FOOD 3 VELI 500 STRAPPI CELTEX 59615 - CONFEZIONE 2 ROTOLONI,237,0508F5E6FHX,https://www.amazon.it/dp/B0F7XV4WXG,ROTOLONE DI CARTA SUPERBLUE FOOD 3 VELI 500 STRAPPI CELTEX 59615 - CONFEZIONE 2 ROTOLONI
FAN1076025,,✅ SU WOOCOMMERCE,FAN1076025,FAN1076025,NO YELLOW THERMO-PROTECTIVE CREAM 150 ML,6,12,DIRETTO (SKU=COD),100,FANOLA THERMO-PROTECTIVE CREAM,177,0514HJLQQGM,https://www.amazon.it/dp/B089WD5G3Q,
FAN1076058,,🟡 FUZZY INCERTO - VERIFICA (codice NON unico),I1-TAKJ-XON9,FAN86879,CONDIZIONAT. RISTRUTTURANTE s/risciacquo TUBO 300 ML (1076057),9,7,🟡 INCERTO (53.4%),534,FANOLA Nourishing Balsamo Bifasico Ristrutturante Senza risciacquo 200ml,127,0326FP48MNL,https://www.amazon.it/dp/B08L4H812D,
FAN1076064,,✅ SU WOOCOMMERCE,FAN1076064,FAN1076064,CONDIZIONATORE RISTRUTTURANTE TANICA LT.10,2,0,DIRETTO (SKU=COD),100,Fanola Nutri Care Restructuring Conditioner,415,0514HJCIT9J,https://www.amazon.it/dp/B01CCSVDUS,
FAN1076082,,✅ SU WOOCOMMERCE,FAN1076082,FAN1076082,VIOLET PEROXYDE 5 VOL crema ossidante viola 1000 ML,24,19,DIRETTO (SKU=COD),100,FANOLA Crema Ossidante Viola Antigiallo 5 Vol 1000ml,114,0704F5Q6I21,https://www.amazon.it/dp/B096SRSRW2,
FAN1076083,,✅ SU WOOCOMMERCE,FAN1076083,FAN1076083,VIOLET PEROXYDE 25 VOL crema ossidante viola 1000 ML,22,8,DIRETTO (SKU=COD),100,FANOLA Crema Ossidante Viola Antigiallo 25 Vol 1000ml,114,0704F5KY8QI,https://www.amazon.it/dp/B096S91BKN,
