ID,Tipo,SKU,"GTIN, UPC, EAN, o ISBN",Nome,Pubblicato,In primo piano?,Visibilità nel catalogo,Breve descrizione,Descrizione,Data di partenza del prezzo in saldo,Data in cui termina l'offerta,Stato delle imposte,Aliquota di imposta,In stock?,Magazzino,Quantità in magazzino bassa,Abilita gli ordini arretrati?,Venduto singolarmente?,Peso (kg),Lunghezza (cm),Larghezza (cm),Altezza (cm),Permetti le recensioni clienti?,Nota di acquisto,Prezzo in offerta,Prezzo di listino,Categorie,Tag,Classe di spedizione,Immagine,Limite di download,Scarica i giorni di scadenza,Genitore,Prodotti raggruppati,Up-sell,Cross-sell,URL esterno,Testo del pulsante,Posizione,Marchi,Meta: _asin,Meta: _amazon_url,Meta: _et_builder_dynamic_assets_loading_attr_threshold,Meta: _last_change_time,Meta: _et_pb_post_hide_nav,Meta: _et_pb_page_layout,Meta: _et_pb_side_nav,Meta: _et_pb_use_builder,Meta: _et_pb_first_image,Meta: _et_pb_truncate_post,Meta: _et_pb_truncate_post_date,Meta: _et_pb_old_content
,simple,FAN86018,,FANOLA COLOR CENERE 1.10,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0424HAENA00,https://www.amazon.it/dp/B00CGPLQ14,,,,,,,,,,
,simple,FAN86024,,"FANOLA - Crema colorante per capelli Fanola, 100 ml, 7.13, biondo beige",1,,visible,,,,,taxable,,1,6,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0430H27B44A,https://www.amazon.it/dp/B00CGPJJ18,,,,,,,,,,
,simple,FAN86027,,FANOLA COLOR MARRONI 4.14,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0424HAIGV1Q,https://www.amazon.it/dp/B00CGPKIMM,,,,,,,,,,
,simple,FAN86034,,"FANOLA - Crema tintura per capelli Fanola 100 ml 5.3, marrone chiaro e oro",1,,visible,,,,,taxable,,1,6,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0424HAIOD8H,https://www.amazon.it/dp/B00CGPKW00,,,,,,,,,,
,simple,FAN86035,,"FANOLA - Crema colorante per capelli, 100 ml, oro biondo scuro 6.3",1,,visible,,,,,taxable,,1,33,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0424HAFQB78,https://www.amazon.it/dp/B015RYGCU0,,,,,,,,,,
,simple,FAN86038,,"FANOLA Hair Color Crema tintura 9.3 biondo oro molto chiaro, 100 ml",1,,visible,,,,,taxable,,1,6,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0424HAHRADR,https://www.amazon.it/dp/B00CGPP89K,,,,,,,,,,
,simple,FAN86047,,FANOLA TINTURA 6.43,1,,visible,,,,,taxable,,1,5,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0424HAAI98Z,https://www.amazon.it/dp/B00CGPP0QQ,,,,,,,,,,
,simple,FAN86055,,"Fanola 4.5 Medium Mahogany Brown Hair Coloring Cream, Tinta Castano Mogano, 100 ml",1,,visible,,,,,taxable,,1,6,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0430H2467RP,https://www.amazon.it/dp/B00CGPSR8Y,,,,,,,,,,
,simple,FAN86062,,FANOLA COLOR SUPERSCHIARENTI 11.0,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0424HAHVGTN,https://www.amazon.it/dp/B00CGPJMKQ,,,,,,,,,,
,simple,FAN86066,,FANOLA - Crema per capelli Fanola 100 ml,1,,visible,,,,,taxable,,1,3,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0424HACABOE,https://www.amazon.it/dp/B00PZ0RQMU,,,,,,,,,,
,simple,FAN86069,,"FANOLA Amarillo Fanola Corrector, per l uso quotidiano, 100 ml",1,,visible,,,,,taxable,,1,48,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0424HAIRCUS,https://www.amazon.it/dp/B00PZ0R4L8,,,,,,,,,,
,simple,FAN86072,,Fanola Accessori colore - 150 gr,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0424HAAJKIT,https://www.amazon.it/dp/B015RYGEBW,,,,,,,,,,
